gene,n_both,n_inv,rate,decile,p_expected,enrichment_vs_decile,odds_ratio,p_enrichment,q_enrichment,sig_enriched,p_two_sided,q_two_sided,sig_two_sided,direction,shown_in_fig2a,label_rank_fig2a,label_rank_fig2a_two_sided
PCNX3,10,0,0.0,1,0.031088082901554404,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
PDCD2L,11,0,0.0,1,0.0311284046692607,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
PDIA6,70,0,0.0,6,0.04214123006833713,0.0,0.0,1.0,1.0,False,0.11908970090210041,0.37298652516038555,False,down,False,0,0
PDLIM2,10,0,0.0,1,0.031088082901554404,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
PELO,17,0,0.0,2,0.05380710659898477,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
PEX6,9,0,0.0,0,0.06633906633906633,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
PHF12,31,0,0.0,4,0.030607364897178385,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
PHF3,41,0,0.0,5,0.0323498044792037,0.0,0.0,1.0,1.0,False,0.6405557265680484,1.0,False,down,False,0,0
PIGB,39,0,0.0,4,0.030724915986557848,0.0,0.0,1.0,1.0,False,0.6298157680095292,1.0,False,down,False,0,0
PKM,7,0,0.0,0,0.06601466992665037,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
PPDPF,39,0,0.0,4,0.030724915986557848,0.0,0.0,1.0,1.0,False,0.6298157680095292,1.0,False,down,False,0,0
PPIH,27,0,0.0,3,0.034482758620689655,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
PPIL1,18,0,0.0,2,0.05386178861788618,0.0,0.0,1.0,1.0,False,0.6184452873856796,1.0,False,down,False,0,0
PPP6C,16,0,0.0,2,0.0537525354969574,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
PPRC1,12,0,0.0,1,0.03116883116883117,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
